Sample GSI YEAR MONTH Location Sex
353 353 0.2065 1 3 1 1
354 354 0.2061 1 3 3 1
358 358 0.2028 1 3 3 1
359 359 0.2024 1 2 1 1
360 360 0.1985 1 2 3 1
363 363 0.1935 1 4 3 1
364 364 0.1893 1 3 3 1
365 365 0.1892 1 3 3 1
366 366 0.1887 1 3 3 1
367 367 0.1875 1 3 1 1
368 368 0.1859 1 2 1 1
371 371 0.1827 1 2 3 1
376 376 0.175 1 5 1 1
378 378 0.1681 1 4 3 1
381 381 0.1661 1 1 3 1
382 382 0.1657 1 2 1 1
383 383 0.1654 1 2 3 1
385 385 0.1621 1 2 1 1
388 388 0.1611 1 2 1 1
389 389 0.1589 1 2 1 1
391 391 0.1555 1 2 1 1
392 392 0.1549 1 2 1 1
393 393 0.1543 1 1 1 1
394 394 0.1541 1 1 1 1
399 399 0.1492 1 3 1 1
410 410 0.1402 1 2 1 1
411 411 0.1401 1 2 3 1
412 412 0.14 1 2 1 1
415 415 0.1395 1 2 1 1
417 417 0.139 1 2 1 1
421 421 0.1347 1 3 1 1
423 423 0.1344 1 2 1 1
424 424 0.134 1 1 1 1
427 427 0.133 1 1 1 1
431 431 0.1316 1 1 1 1
435 435 0.1261 1 2 1 1
436 436 0.1261 1 2 1 1
437 437 0.1239 1 2 1 1
440 440 0.1212 1 3 1 1
444 444 0.1186 1 3 3 1
445 445 0.1181 1 2 1 1
448 448 0.1162 1 1 1 1
449 449 0.1121 1 2 1 1
451 451 0.1079 1 4 3 1
453 453 0.1069 1 1 1 1
456 456 0.1061 1 1 1 1
459 459 0.1014 1 2 3 1
461 461 0.0987 1 1 1 1
462 462 0.0969 1 1 1 1
466 466 0.0929 1 2 1 1
467 467 0.0928 1 2 3 1
471 471 0.0907 1 2 1 1
474 474 0.0888 1 1 3 1
476 476 0.0881 1 2 3 1
477 477 0.0877 1 2 1 1
479 479 0.0866 1 1 1 1
481 481 0.0827 1 2 1 1
482 482 0.0817 1 2 3 1
483 483 0.0817 1 2 1 1
488 488 0.079 1 1 1 1
491 491 0.0774 1 3 1 1
494 494 0.0738 1 1 1 1
499 499 0.0711 1 1 1 1
506 506 0.0647 1 1 1 1
515 515 0.0554 1 2 1 1
518 518 0.053 1 2 1 1
519 519 0.0526 1 1 3 1
527 527 0.047 1 1 3 1
535 535 0.0375 1 1 1 1
537 537 0.0334 1 1 3 1
539 539 0.0276 1 1 1 1
542 542 0.0218 1 4 3 1
543 543 0.019 1 2 1 1
544 544 0.0167 1 6 1 1
545 545 0.0131 1 5 1 1
763 763 4.2144 2 10 1 1
765 765 4.1906 2 11 1 1
771 771 3.8598 2 11 1 1
773 773 3.804 2 9 1 1
778 778 3.5826 2 8 1 1
785 785 3.3895 2 8 1 1
786 786 3.3839 2 8 1 1
787 787 3.3324 2 8 1 1
788 788 3.2799 2 6 1 1
789 789 3.2536 2 4 1 1
790 790 3.2492 2 6 1 1
791 791 3.2383 2 6 1 1
792 792 3.2333 2 8 1 1
793 793 3.2161 2 11 1 1
794 794 3.1991 2 8 1 1
795 795 3.1264 2 5 1 1
796 796 3.1242 2 11 1 1
799 799 3.0116 2 10 1 1
800 800 2.9792 2 8 1 1
802 802 2.9531 2 6 1 1
803 803 2.9504 2 8 1 1
805 805 2.8932 2 6 1 1
807 807 2.8892 2 6 1 1
808 808 2.865 2 6 1 1
809 809 2.8257 2 7 3 1
810 810 2.8067 2 6 1 1
811 811 2.7965 2 8 1 1
813 813 2.7649 2 5 1 1
814 814 2.7588 2 5 1 1
815 815 2.7189 2 8 1 1
816 816 2.7134 2 11 1 1
817 817 2.7084 2 6 1 1
818 818 2.7035 2 4 1 1
819 819 2.7023 2 5 3 1
820 820 2.6864 2 6 3 1
821 821 2.6559 2 4 3 1
822 822 2.6494 2 6 1 1
823 823 2.6463 2 8 1 1
824 824 2.6269 2 5 1 1
825 825 2.6265 2 10 1 1
826 826 2.603 2 7 3 1
827 827 2.5842 2 9 1 1
828 828 2.569 2 12 1 1
829 829 2.568 2 8 1 1
830 830 2.555 2 8 1 1
832 832 2.5396 2 9 1 1
834 834 2.502 2 11 1 1
835 835 2.496 2 7 3 1
836 836 2.4848 2 5 1 1
837 837 2.4796 2 10 1 1
838 838 2.4732 2 7 3 1
839 839 2.4703 2 6 1 1
841 841 2.436 2 4 1 1
843 843 2.4254 2 12 1 1
844 844 2.4221 2 6 1 1
845 845 2.4193 2 4 3 1
846 846 2.4151 2 4 3 1
847 847 2.4094 2 2 1 1
848 848 2.409 2 6 1 1
849 849 2.4 2 7 3 1
850 850 2.4 2 4 1 1
851 851 2.3826 2 9 1 1
852 852 2.3697 2 10 1 1
853 853 2.3689 2 5 1 1
854 854 2.3632 2 5 3 1
855 855 2.3571 2 7 3 1
856 856 2.3504 2 10 1 1
858 858 2.3468 2 9 1 1
859 859 2.3456 2 9 3 1
860 860 2.3423 2 7 3 1
861 861 2.3414 2 6 1 1
862 862 2.329 2 8 1 1
863 863 2.3209 2 4 1 1
864 864 2.3194 2 7 3 1
865 865 2.319 2 4 4 1
867 867 2.3154 2 4 4 1
869 869 2.2992 2 6 3 1
870 870 2.29 2 5 1 1
871 871 2.289 2 6 3 1
872 872 2.2888 2 5 1 1
873 873 2.2852 2 7 3 1
874 874 2.2779 2 4 1 1
875 875 2.272 2 10 1 1
876 876 2.2706 2 5 1 1
878 878 2.255 2 5 1 1
879 879 2.252 2 10 1 1
880 880 2.251 2 7 3 1
882 882 2.2494 2 5 1 1
883 883 2.2451 2 4 4 1
884 884 2.2393 2 4 4 1
886 886 2.2339 2 6 3 1
887 887 2.2302 2 5 1 1
888 888 2.2302 2 6 3 1
890 890 2.2184 2 4 3 1
891 891 2.2135 2 6 3 1
892 892 2.2048 2 12 1 1
893 893 2.1835 2 10 1 1
894 894 2.1727 2 6 3 1
895 895 2.1721 2 4 4 1
897 897 2.1564 2 5 3 1
898 898 2.1554 2 7 3 1
899 899 2.1478 2 4 2 1
900 900 2.1454 2 5 1 1
901 901 2.1439 2 11 1 1
902 902 2.1304 2 7 3 1
903 903 2.1282 2 10 1 1
904 904 2.1271 2 1 1 1
906 906 2.1238 2 6 1 1
907 907 2.1196 2 11 1 1
908 908 2.1129 2 7 3 1
910 910 2.1114 2 5 1 1
911 911 2.1047 2 6 1 1
912 912 2.1038 2 7 3 1
913 913 2.0966 2 7 3 1
914 914 2.0756 2 9 1 1
915 915 2.0749 2 8 1 1
916 916 2.0739 2 4 1 1
917 917 2.0737 2 11 1 1
918 918 2.0617 2 7 3 1
919 919 2.0602 2 6 3 1
920 920 2.0575 2 8 1 1
921 921 2.0431 2 8 1 1
922 922 2.0397 2 6 1 1
923 923 2.0371 2 4 1 1
924 924 2.0327 2 5 1 1
925 925 2.0273 2 7 3 1
926 926 2.0221 2 5 1 1
927 927 2.0191 2 10 1 1
928 928 2.0055 2 9 1 1
929 929 1.9916 2 5 3 1
930 930 1.9895 2 5 1 1
931 931 1.9881 2 12 1 1
932 932 1.9869 2 10 1 1
933 933 1.9832 2 7 3 1
934 934 1.9804 2 6 3 1
935 935 1.9753 2 8 1 1
936 936 1.9749 2 3 3 1
937 937 1.9736 2 4 3 1
938 938 1.9686 2 7 3 1
939 939 1.9477 2 5 3 1
940 940 1.9355 2 5 3 1
941 941 1.9303 2 4 4 1
943 943 1.9115 2 7 3 1
944 944 1.9009 2 5 3 1
945 945 1.8922 2 7 3 1
946 946 1.8892 2 10 1 1
947 947 1.8816 2 8 3 1
948 948 1.8812 2 8 1 1
949 949 1.8762 2 4 4 1
950 950 1.8723 2 9 1 1
951 951 1.8715 2 10 1 1
952 952 1.8639 2 5 3 1
953 953 1.8637 2 8 1 1
954 954 1.858 2 3 3 1
955 955 1.8573 2 8 1 1
956 956 1.8508 2 11 1 1
957 957 1.8493 2 12 1 1
958 958 1.8493 2 4 3 1
959 959 1.849 2 4 3 1
960 960 1.8437 2 4 2 1
961 961 1.8413 2 7 3 1
963 963 1.8365 2 12 1 1
965 965 1.8265 2 1 3 1
966 966 1.8201 2 6 3 1
967 967 1.8173 2 6 1 1
968 968 1.8169 2 7 3 1
969 969 1.8149 2 7 3 1
970 970 1.8121 2 9 1 1
971 971 1.8105 2 5 1 1
972 972 1.8052 2 12 1 1
973 973 1.8042 2 7 3 1
974 974 1.7939 2 7 3 1
975 975 1.7916 2 2 1 1
977 977 1.7814 2 9 1 1
978 978 1.7798 2 9 1 1
979 979 1.7679 2 10 1 1
980 980 1.7654 2 6 1 1
981 981 1.7638 2 11 1 1
982 982 1.7584 2 7 3 1
983 983 1.7573 2 8 1 1
984 984 1.7569 2 5 3 1
985 985 1.7565 2 9 1 1
986 986 1.7509 2 10 1 1
987 987 1.7441 2 3 2 1
988 988 1.7403 2 12 3 1
989 989 1.7374 2 4 1 1
990 990 1.7279 2 5 1 1
991 991 1.725 2 8 1 1
992 992 1.7231 2 8 1 1
993 993 1.7095 2 4 1 1
994 994 1.7088 2 4 2 1
995 995 1.6981 2 5 1 1
996 996 1.6972 2 5 1 1
997 997 1.6887 2 4 2 1
998 998 1.6842 2 4 3 1
999 999 1.6798 2 10 1 1
1000 1000 1.6773 2 7 3 1
1001 1001 1.6757 2 6 3 1
1002 1002 1.6756 2 4 2 1
1003 1003 1.6677 2 4 3 1
1004 1004 1.6665 2 10 1 1
1005 1005 1.6569 2 9 1 1
1006 1006 1.647 2 6 3 1
1008 1008 1.6369 2 6 3 1
1009 1009 1.6362 2 4 3 1
1010 1010 1.6339 2 8 1 1
1011 1011 1.6271 2 4 3 1
1012 1012 1.6181 2 4 3 1
1013 1013 1.6029 2 4 3 1
1014 1014 1.6019 2 8 1 1
1015 1015 1.598 2 10 1 1
1016 1016 1.5924 2 3 2 1
1017 1017 1.5875 2 7 3 1
1018 1018 1.5849 2 3 3 1
1019 1019 1.5675 2 5 3 1
1020 1020 1.5648 2 8 1 1
1021 1021 1.5648 2 4 3 1
1022 1022 1.5572 2 4 4 1
1023 1023 1.5565 2 10 1 1
1024 1024 1.556 2 4 3 1
1025 1025 1.5558 2 8 1 1
1026 1026 1.5537 2 10 1 1
1027 1027 1.5511 2 4 2 1
1028 1028 1.5495 2 11 1 1
1029 1029 1.5489 2 7 3 1
1030 1030 1.5076 2 6 1 1
1031 1031 1.5064 2 4 1 1
1032 1032 1.496 2 1 1 1
1033 1033 1.4882 2 5 1 1
1034 1034 1.4822 2 7 3 1
1036 1036 1.4774 2 6 1 1
1037 1037 1.4619 2 11 1 1
1038 1038 1.4616 2 4 4 1
1039 1039 1.4599 2 5 1 1
1040 1040 1.4595 2 9 1 1
1041 1041 1.4593 2 5 1 1
1042 1042 1.4565 2 9 1 1
1043 1043 1.4526 2 4 3 1
1044 1044 1.4433 2 8 1 1
1045 1045 1.4415 2 6 3 1
1047 1047 1.436 2 4 3 1
1048 1048 1.4353 2 5 1 1
1050 1050 1.4265 2 4 4 1
1051 1051 1.425 2 7 3 1
1052 1052 1.4226 2 6 1 1
1053 1053 1.4199 2 6 3 1
1054 1054 1.4111 2 4 1 1
1055 1055 1.4027 2 4 2 1
1056 1056 1.378 2 9 1 1
1057 1057 1.3639 2 4 1 1
1058 1058 1.356 2 9 1 1
1059 1059 1.354 2 3 3 1
1060 1060 1.3431 2 1 3 1
1061 1061 1.3344 2 4 2 1
1062 1062 1.3344 2 6 3 1
1064 1064 1.3296 2 8 3 1
1065 1065 1.3225 2 4 1 1
1066 1066 1.317 2 10 1 1
1067 1067 1.3024 2 6 3 1
1068 1068 1.2938 2 4 3 1
1069 1069 1.2921 2 6 3 1
1070 1070 1.2878 2 3 3 1
1071 1071 1.2746 2 9 1 1
1072 1072 1.274 2 11 1 1
1073 1073 1.2738 2 4 1 1
1074 1074 1.2643 2 9 1 1
1075 1075 1.2627 2 9 1 1
1076 1076 1.2578 2 10 1 1
1077 1077 1.2577 2 10 1 1
1078 1078 1.2571 2 4 2 1
1079 1079 1.2553 2 4 4 1
1080 1080 1.2548 2 4 2 1
1081 1081 1.245 2 4 2 1
1082 1082 1.2433 2 11 1 1
1084 1084 1.2372 2 9 3 1
1085 1085 1.2295 2 9 1 1
1086 1086 1.2277 2 9 1 1
1087 1087 1.2256 2 2 1 1
1088 1088 1.2184 2 9 1 1
1089 1089 1.216 2 4 4 1
1090 1090 1.2039 2 4 4 1
1091 1091 1.2014 2 10 1 1
1092 1092 1.1938 2 4 1 1
1093 1093 1.1826 2 2 1 1
1094 1094 1.1799 2 2 3 1
1095 1095 1.1797 2 4 4 1
1096 1096 1.1776 2 6 1 1
1097 1097 1.1711 2 3 2 1
1098 1098 1.1705 2 9 1 1
1099 1099 1.1677 2 6 3 1
1100 1100 1.1673 2 6 3 1
1101 1101 1.1665 2 4 2 1
1102 1102 1.1631 2 6 3 1
1103 1103 1.1624 2 10 1 1
1104 1104 1.155 2 11 1 1
1105 1105 1.1547 2 4 4 1
1106 1106 1.1529 2 11 1 1
1107 1107 1.1433 2 7 3 1
1108 1108 1.1393 2 4 2 1
1109 1109 1.1351 2 3 3 1
1110 1110 1.1335 2 7 3 1
1111 1111 1.1237 2 11 1 1
1112 1112 1.1199 2 4 3 1
1113 1113 1.1186 2 11 1 1
1114 1114 1.1177 2 12 3 1
1116 1116 1.1111 2 3 2 1
1117 1117 1.1053 2 3 2 1
1118 1118 1.1043 2 7 3 1
1119 1119 1.103 2 4 4 1
1120 1120 1.0943 2 9 1 1
1121 1121 1.0943 2 4 2 1
1122 1122 1.0929 2 10 1 1
1123 1123 1.0818 2 6 1 1
1124 1124 1.0801 2 11 1 1
1125 1125 1.0789 2 5 3 1
1126 1126 1.0759 2 2 1 1
1127 1127 1.0759 2 4 4 1
1128 1128 1.0696 2 4 1 1
1129 1129 1.064 2 3 3 1
1130 1130 1.0596 2 10 1 1
1131 1131 1.0578 2 4 3 1
1133 1133 1.0487 2 12 3 1
1134 1134 1.0471 2 4 4 1
1135 1135 1.0435 2 3 2 1
1136 1136 1.0383 2 6 3 1
1137 1137 1.0367 2 4 1 1
1139 1139 1.0289 2 4 1 1
1140 1140 1.0276 2 6 3 1
1141 1141 1.0243 2 11 1 1
1142 1142 1.0235 2 5 1 1
1143 1143 1.0145 2 11 1 1
1144 1144 1.013 2 9 1 1
1145 1145 1.011 2 4 4 1
1146 1146 1.0107 2 11 1 1
1148 1148 0.9991 2 10 1 1
1149 1149 0.9986 2 6 1 1
1150 1150 0.9977 2 12 3 1
1152 1152 0.9918 2 3 3 1
1154 1154 0.9908 2 9 1 1
1155 1155 0.9846 2 4 2 1
1156 1156 0.9758 2 4 2 1
1157 1157 0.962 2 2 1 1
1158 1158 0.9583 2 10 1 1
1159 1159 0.9526 2 4 4 1
1160 1160 0.9499 2 4 3 1
1161 1161 0.9294 2 4 2 1
1162 1162 0.9201 2 5 3 1
1163 1163 0.9166 2 1 3 1
1164 1164 0.9153 2 3 2 1
1165 1165 0.8961 2 4 4 1
1167 1167 0.8584 2 6 1 1
1168 1168 0.841 2 3 3 1
1170 1170 0.8204 2 3 2 1
1171 1171 0.8064 2 3 2 1
1172 1172 0.7983 2 11 1 1
1173 1173 0.7933 2 9 1 1
1174 1174 0.7722 2 3 3 1
1175 1175 0.7632 2 4 4 1
1176 1176 0.7569 2 9 1 1
1177 1177 0.7479 2 11 1 1
1178 1178 0.745 2 8 3 1
1180 1180 0.7414 2 3 3 1
1181 1181 0.7256 2 9 1 1
1182 1182 0.7246 2 3 2 1
1183 1183 0.7237 2 6 1 1
1185 1185 0.7031 2 11 1 1
1186 1186 0.7012 2 11 1 1
1187 1187 0.6856 2 3 2 1
1188 1188 0.6775 2 1 3 1
1189 1189 0.6741 2 3 3 1
1191 1191 0.6469 2 4 3 1
1193 1193 0.6319 2 4 2 1
1194 1194 0.6051 2 4 2 1
1196 1196 0.59 2 1 3 1
1197 1197 0.5779 2 2 1 1
1200 1200 0.5571 2 3 2 1
1201 1201 0.5507 2 4 1 1
1202 1202 0.5198 2 11 1 1
1203 1203 0.4952 2 11 1 1
1204 1204 0.4789 2 4 2 1
1205 1205 0.4755 2 1 3 1
1206 1206 0.4654 2 11 1 1
1207 1207 0.4619 2 2 1 1
1208 1208 0.4525 2 2 1 1
1210 1210 0.444 2 4 3 1
1211 1211 0.4333 2 4 1 1
1213 1213 0.4323 2 3 2 1
1214 1214 0.4299 2 3 3 1
1215 1215 0.4282 2 4 1 1
1216 1216 0.4234 2 1 3 1
1218 1218 0.4056 2 2 1 1
1219 1219 0.3999 2 11 1 1
1221 1221 0.397 2 12 1 1
1222 1222 0.3957 2 4 1 1
1223 1223 0.3948 2 1 3 1
1224 1224 0.3879 2 4 3 1
1225 1225 0.3872 2 4 2 1
1226 1226 0.3858 2 4 2 1
1227 1227 0.3855 2 4 2 1
1234 1234 0.3584 2 3 2 1
1238 1238 0.3307 2 2 1 1
1240 1240 0.3079 2 12 1 1
1241 1241 0.3067 2 4 1 1
1247 1247 0.2883 2 3 3 1
1248 1248 0.2853 2 4 2 1
1250 1250 0.2807 2 4 1 1
1260 1260 0.2484 2 2 1 1
1262 1262 0.2464 2 11 1 1
1268 1268 0.2327 2 3 2 1
1270 1270 0.2306 2 1 1 1
1271 1271 0.2304 2 2 1 1
1274 1274 0.2231 2 2 1 1
1278 1278 0.2163 2 2 1 1
1281 1281 0.2153 2 4 3 1
1284 1284 0.2124 2 4 3 1
1286 1286 0.2089 2 1 1 1
1292 1292 0.2002 2 2 1 1
1293 1293 0.2 2 2 1 1
1295 1295 0.1975 2 1 1 1
1296 1296 0.1968 2 3 2 1
1297 1297 0.1967 2 1 1 1
1298 1298 0.1955 2 4 1 1
1300 1300 0.1915 2 4 3 1
1301 1301 0.1912 2 4 2 1
1302 1302 0.1906 2 1 1 1
1307 1307 0.1865 2 3 2 1
1308 1308 0.1853 2 3 2 1
1311 1311 0.1813 2 10 1 1
1313 1313 0.1809 2 4 3 1
1317 1317 0.1775 2 3 2 1
1319 1319 0.175 2 12 1 1
1321 1321 0.1723 2 4 2 1
1323 1323 0.1717 2 12 1 1
1325 1325 0.1695 2 3 2 1
1330 1330 0.1633 2 2 1 1
1334 1334 0.1607 2 2 1 1
1335 1335 0.1602 2 1 1 1
1337 1337 0.1564 2 4 2 1
1339 1339 0.1562 2 12 1 1
1342 1342 0.1522 2 1 1 1
1343 1343 0.1511 2 3 2 1
1348 1348 0.1481 2 3 2 1
1349 1349 0.1439 2 1 3 1
1350 1350 0.1406 2 3 2 1
1353 1353 0.1393 2 4 2 1
1354 1354 0.1392 2 1 1 1
1356 1356 0.1374 2 1 1 1
1357 1357 0.1367 2 12 1 1
1360 1360 0.1359 2 3 2 1
1364 1364 0.1341 2 4 3 1
1365 1365 0.129 2 12 1 1
1366 1366 0.1282 2 1 1 1
1368 1368 0.1258 2 1 1 1
1369 1369 0.1255 2 1 1 1
1370 1370 0.1251 2 3 2 1
1371 1371 0.1244 2 12 1 1
1372 1372 0.124 2 1 1 1
1374 1374 0.12 2 2 1 1
1376 1376 0.1197 2 1 1 1
1378 1378 0.1179 2 12 1 1
1380 1380 0.1176 2 1 1 1
1383 1383 0.1138 2 2 1 1
1389 1389 0.1097 2 2 1 1
1390 1390 0.108 2 12 1 1
1392 1392 0.1075 2 1 1 1
1393 1393 0.1073 2 1 1 1
1397 1397 0.1038 2 1 1 1
1400 1400 0.1032 2 3 2 1
1401 1401 0.1028 2 1 1 1
1407 1407 0.1009 2 2 1 1
1413 1413 0.0987 2 7 3 1
1414 1414 0.097 2 12 1 1
1417 1417 0.0962 2 1 1 1
1419 1419 0.095 2 4 2 1
1420 1420 0.0948 2 2 1 1
1422 1422 0.0943 2 2 1 1
1424 1424 0.0934 2 3 2 1
1427 1427 0.0914 2 12 1 1
1430 1430 0.089 2 12 1 1
1431 1431 0.089 2 1 1 1
1432 1432 0.0884 2 3 2 1
1433 1433 0.0881 2 12 1 1
1435 1435 0.0879 2 3 3 1
1436 1436 0.0874 2 2 1 1
1437 1437 0.0859 2 12 1 1
1438 1438 0.0855 2 1 1 1
1439 1439 0.0833 2 1 1 1
1440 1440 0.0812 2 1 1 1
1441 1441 0.081 2 12 1 1
1442 1442 0.0807 2 10 1 1
1443 1443 0.0807 2 12 1 1
1449 1449 0.0777 2 2 1 1
